Date,Occupation,Ethnicity,Numerator,Denominator,Percentage
Jul 2019-Jun 2020,Prof. occups.,Black,2100,26800,7.835820896
Jul 2019-Jun 2020,Associate prof. & tech. occups.,Black,5200,26800,19.40298507
Jul 2019-Jun 2020,Admin. & secretarial occups.,Black,3400,26800,12.68656716
Jul 2019-Jun 2020,Skilled trades occups.,Black,1600,26800,5.970149254
Jul 2019-Jun 2020,"Caring, leisure and other occs.",Black,1900,26800,7.089552239
Jul 2019-Jun 2020,Sales & consumer service occs.,Black,5200,26800,19.40298507
Jul 2019-Jun 2020,"Process, plant & mach. Opers",Black,2200,26800,8.208955224
Jul 2019-Jun 2020,Elementary occups.,Black,4200,26800,15.67164179
Oct 2019-Sep 2020,"Managers, directors & seniors",Black,!,23700,#VALUE!
Oct 2019-Sep 2020,Prof. occups.,Black,2000,23700,8.438818565
Oct 2019-Sep 2020,Associate prof. & tech. occups.,Black,2400,23700,10.12658228
Oct 2019-Sep 2020,Admin. & secretarial occups.,Black,2600,23700,10.97046414
Oct 2019-Sep 2020,Skilled trades occups.,Black,!,23700,#VALUE!
Oct 2019-Sep 2020,"Caring, leisure and other occs.",Black,4800,23700,20.25316456
Oct 2019-Sep 2020,Sales & consumer service occs.,Black,4600,23700,19.4092827
Oct 2019-Sep 2020,"Process, plant & mach. Opers",Black,!,23700,#VALUE!
Oct 2019-Sep 2020,Elementary occups.,Black,4000,23700,16.87763713
Jan 2020-Dec 2020,"Managers, directors & seniors",Black,2100,23800,8.823529412
Jan 2020-Dec 2020,Prof. occups.,Black,1700,23800,7.142857143
Jan 2020-Dec 2020,Associate prof. & tech. occups.,Black,2600,23800,10.92436975
Jan 2020-Dec 2020,Admin. & secretarial occups.,Black,3100,23800,13.02521008
Jan 2020-Dec 2020,Skilled trades occups.,Black,!,23800,#VALUE!
Jan 2020-Dec 2020,"Caring, leisure and other occs.",Black,5500,23800,23.1092437
Jan 2020-Dec 2020,Sales & consumer service occs.,Black,3400,23800,14.28571429
Jan 2020-Dec 2020,"Process, plant & mach. Opers",Black,!,23800,#VALUE!
Jan 2020-Dec 2020,Elementary occups.,Black,4600,23800,19.32773109
Apr 2020-Mar 2021,"Managers, directors & seniors",Black,4100,24300,16.87242798
Apr 2020-Mar 2021,Prof. occups.,Black,1400,24300,5.761316872
Apr 2020-Mar 2021,Associate prof. & tech. occups.,Black,3000,24300,12.34567901
Apr 2020-Mar 2021,Admin. & secretarial occups.,Black,!,24300,#VALUE!
